epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,1.5945526501464844,66.228,94.664,1.1499835561752318,73.4,97.58
2,1.0256888006591798,71.416,96.714,0.8931198657035828,75.01,97.97
3,0.8955738415145874,72.226,97.076,0.8052962440490723,75.52,98.16
4,0.8475634032058715,72.52199999999999,97.09,0.7633638476371765,75.91,98.22
5,0.8188804851913453,73.11800000000001,97.25200000000001,0.7383375999450683,76.03999999999999,98.32
6,0.8113945231437684,73.18599999999999,97.226,0.7230198080062866,76.25,98.29
7,0.8020488415145874,73.294,97.33800000000001,0.7123630418777466,76.39,98.31
8,0.7990029209709167,73.24199999999999,97.264,0.7038075931549073,76.53,98.32
9,0.7952467779159546,73.37599999999999,97.284,0.6979813928604126,76.67,98.34
10,0.7855842418289185,73.83,97.408,0.6917557103157044,76.98,98.39
11,0.7788778443908692,74.028,97.352,0.6885059787750244,77.01,98.38
12,0.7813588577270508,73.732,97.41199999999999,0.6850092540740966,77.03999999999999,98.41
13,0.7749464575576782,74.114,97.324,0.682132741355896,77.19,98.4
14,0.7773592304420471,74.048,97.386,0.680524398136139,77.18,98.4
15,0.7743067725181579,73.99799999999999,97.43,0.6775878507614136,77.35,98.34
16,0.7720297303962708,74.048,97.45,0.675498450756073,77.27000000000001,98.39
17,0.7745219815444946,73.99799999999999,97.348,0.6745539680480958,77.4,98.39
18,0.7695248057556152,74.15,97.452,0.6728393677711487,77.28,98.4
19,0.7721375163269043,74.03,97.37400000000001,0.6722956958770752,77.35,98.39
20,0.7736174034118652,73.896,97.432,0.670649130821228,77.39,98.4
21,0.7693676099014283,73.96000000000001,97.36200000000001,0.6690524235725402,77.47,98.38
22,0.7698646734428406,74.132,97.478,0.6686089769363404,77.37,98.39
23,0.7692344673156738,74.25399999999999,97.396,0.6672528232574463,77.42999999999999,98.41
24,0.7626859635543823,74.35000000000001,97.47,0.6662319511413575,77.53999999999999,98.38
25,0.7649210896110534,74.148,97.506,0.665735786151886,77.53,98.38
26,0.7674272271537781,74.302,97.532,0.6652521308898925,77.44,98.38
