epoch,train_loss,test_acc@1,test_acc@5
1,6.4383365739252145,45.93,91.75999999999999
2,6.217731780612592,45.93,91.75999999999999
3,6.165718398143336,45.93,91.75999999999999
4,6.103663478929972,45.93,91.75999999999999
5,6.055469758731803,45.93,91.75999999999999
6,6.033462273705866,45.93,91.75999999999999
7,6.0037190397990114,45.93,91.75999999999999
8,5.973892860805865,45.93,91.75999999999999
9,5.940752899523863,45.93,91.75999999999999
10,5.914469188021631,45.93,91.75999999999999
11,5.901007244267414,45.93,91.75999999999999
12,5.887167065413957,45.93,91.75999999999999
13,5.862879895672355,45.93,91.75999999999999
14,5.8501702977209975,45.93,91.75999999999999
15,5.8356306036723025,45.93,91.75999999999999
16,5.824941345096863,45.93,91.75999999999999
17,5.8109378028161744,45.93,91.75999999999999
18,5.799089549743023,45.93,91.75999999999999
19,5.7991496902151205,45.93,91.75999999999999
20,5.788838479936738,45.93,91.75999999999999
21,5.785132123022964,51.28,94.31
22,5.776117177353692,51.28,94.31
23,5.772247260378808,51.28,94.31
24,5.763269925854869,51.28,94.31
25,5.754932147940409,51.28,94.31
26,5.748788110988656,51.28,94.31
27,5.737012789421475,51.28,94.31
28,5.740228264602189,51.28,94.31
29,5.73632766782623,51.28,94.31
30,5.732845203163698,51.28,94.31
31,5.7210484681670195,51.28,94.31
32,5.7205967411552505,51.28,94.31
33,5.711455640104628,51.28,94.31
34,5.708594159981639,51.28,94.31
35,5.704815132101786,51.28,94.31
36,5.704896233745457,51.28,94.31
37,5.697087292818679,51.28,94.31
38,5.692917140488772,51.28,94.31
39,5.692248536139419,51.28,94.31
40,5.690177357073912,51.28,94.31
41,5.690210101530724,55.11000000000001,95.30999999999999
42,5.683115742870213,55.11000000000001,95.30999999999999
43,5.679304875049395,55.11000000000001,95.30999999999999
44,5.677334608490934,55.11000000000001,95.30999999999999
45,5.670629860199604,55.11000000000001,95.30999999999999
46,5.669811755111537,55.11000000000001,95.30999999999999
47,5.665294509573081,55.11000000000001,95.30999999999999
48,5.663434117110734,55.11000000000001,95.30999999999999
49,5.661284309072593,55.11000000000001,95.30999999999999
50,5.657010619173345,55.11000000000001,95.30999999999999
51,5.652897588985482,55.11000000000001,95.30999999999999
52,5.64935585395577,55.11000000000001,95.30999999999999
53,5.647659080544698,55.11000000000001,95.30999999999999
54,5.643561235408193,55.11000000000001,95.30999999999999
55,5.64451652703826,55.11000000000001,95.30999999999999
56,5.638724661364998,55.11000000000001,95.30999999999999
57,5.641758171553464,55.11000000000001,95.30999999999999
58,5.638433009078822,55.11000000000001,95.30999999999999
59,5.628937155930037,55.11000000000001,95.30999999999999
60,5.629126435702609,55.11000000000001,95.30999999999999
61,5.62824388386048,57.95,95.84
62,5.628065138748012,57.95,95.84
63,5.6236879653537395,57.95,95.84
64,5.621243309728878,57.95,95.84
65,5.620419531753383,57.95,95.84
66,5.612383429537115,57.95,95.84
67,5.614975078818724,57.95,95.84
68,5.615699482947281,57.95,95.84
69,5.607336658792398,57.95,95.84
70,5.609705915156099,57.95,95.84
71,5.607004190228649,57.95,95.84
72,5.605933907105751,57.95,95.84
73,5.605736044264331,57.95,95.84
74,5.60467388703651,57.95,95.84
75,5.599038394456057,57.95,95.84
76,5.595961978755047,57.95,95.84
77,5.60019936512426,57.95,95.84
78,5.595005084558861,57.95,95.84
79,5.5924672441384224,57.95,95.84
80,5.589706804334503,57.95,95.84
81,5.58807221147203,60.74,96.02000000000001
82,5.588003256886275,60.74,96.02000000000001
83,5.587915277972664,60.74,96.02000000000001
84,5.585518861554332,60.74,96.02000000000001
85,5.577872005934568,60.74,96.02000000000001
86,5.587451605452705,60.74,96.02000000000001
87,5.581167324302123,60.74,96.02000000000001
88,5.5790203625393895,60.74,96.02000000000001
89,5.579129445184138,60.74,96.02000000000001
90,5.576807587417131,60.74,96.02000000000001
91,5.576032461579313,60.74,96.02000000000001
92,5.576870642986494,60.74,96.02000000000001
93,5.573352130417971,60.74,96.02000000000001
94,5.5722102971421075,60.74,96.02000000000001
95,5.568921541430287,60.74,96.02000000000001
96,5.569868530194784,60.74,96.02000000000001
97,5.569158922765673,60.74,96.02000000000001
98,5.568567000713545,60.74,96.02000000000001
99,5.563792081223321,60.74,96.02000000000001
100,5.565297726503353,60.74,96.02000000000001
101,5.561357227797361,63.63999999999999,96.72
102,5.561927711840758,63.63999999999999,96.72
103,5.5613830064989855,63.63999999999999,96.72
104,5.560617618954058,63.63999999999999,96.72
105,5.559024569914513,63.63999999999999,96.72
106,5.555087561459885,63.63999999999999,96.72
107,5.555058420318918,63.63999999999999,96.72
108,5.551153423859901,63.63999999999999,96.72
109,5.553407767384322,63.63999999999999,96.72
110,5.551016955031562,63.63999999999999,96.72
111,5.551968107518461,63.63999999999999,96.72
112,5.547737318215911,63.63999999999999,96.72
113,5.550592043965133,63.63999999999999,96.72
114,5.546284483880112,63.63999999999999,96.72
115,5.549392031640122,63.63999999999999,96.72
116,5.542380534496504,63.63999999999999,96.72
117,5.542538996824284,63.63999999999999,96.72
118,5.545360845388825,63.63999999999999,96.72
119,5.541226318202068,63.63999999999999,96.72
120,5.542246213893301,63.63999999999999,96.72
121,5.537122239771578,65.48,96.8
122,5.540344641380703,65.48,96.8
123,5.539338932823889,65.48,96.8
124,5.540117194972088,65.48,96.8
125,5.536955966162927,65.48,96.8
126,5.535819230620394,65.48,96.8
127,5.534973518135621,65.48,96.8
128,5.535003086955277,65.48,96.8
129,5.5319414433744765,65.48,96.8
130,5.533028425629606,65.48,96.8
131,5.532073153662927,65.48,96.8
132,5.528890845701866,65.48,96.8
133,5.531333421923451,65.48,96.8
134,5.529415189605398,65.48,96.8
