epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,1.7571836238861085,64.828,94.16,1.3373735706329346,74.2,97.68
2,1.1543975204849244,72.25200000000001,97.004,0.9852584281921387,75.7,98.08
3,0.9546228211784363,72.92999999999999,97.17,0.8481238834381104,76.32,98.3
4,0.8719425152206421,73.438,97.30799999999999,0.7799431944847107,76.73,98.33
5,0.8285621856307983,73.782,97.37,0.7405452110290527,77.05,98.48
6,0.8081395997428894,73.98400000000001,97.394,0.7149420690536499,77.35,98.55000000000001
7,0.7880315818977356,74.476,97.47,0.6975750165939331,77.58,98.61
8,0.781838983001709,74.404,97.464,0.6848057609558106,77.66,98.63
9,0.772564116973877,74.65,97.502,0.6748701767921448,77.8,98.67
10,0.7661090704727173,74.76,97.502,0.6675585600852967,78.0,98.69
11,0.7637389558410644,74.734,97.48400000000001,0.6614795932769776,78.18,98.68
12,0.7595511936759949,74.894,97.45,0.6563121908187867,78.4,98.68
13,0.755775435180664,74.966,97.50999999999999,0.6524895979881287,78.32000000000001,98.68
14,0.7515253996849061,75.226,97.478,0.6491855405807495,78.43,98.72
15,0.7461362725257874,75.30799999999999,97.516,0.6458010047912598,78.58000000000001,98.72
16,0.7520506517219544,75.108,97.474,0.6436047824859619,78.7,98.74000000000001
17,0.7483554762458802,75.12,97.622,0.6412490887641906,78.66,98.74000000000001
18,0.7484995438957215,75.246,97.428,0.638695716381073,78.75999999999999,98.75
19,0.7453214129829406,75.03800000000001,97.584,0.6373863515853881,78.66,98.78
20,0.7397404582977295,75.426,97.584,0.6351134469985962,78.78,98.8
21,0.7440019664001465,75.2,97.584,0.6335422684669495,78.93,98.77
22,0.7443077368545532,75.408,97.526,0.6323374363899231,78.79,98.8
23,0.7383722115707397,75.52,97.528,0.6309066477775573,78.95,98.8
24,0.7374498170852661,75.724,97.572,0.6296808374404907,78.92,98.77
25,0.7416146743392944,75.312,97.518,0.6291105269432068,78.94,98.75
26,0.7451736510848999,75.348,97.47200000000001,0.6281061697006226,78.86999999999999,98.78
27,0.7429951977920533,75.438,97.514,0.6276344277381897,78.99000000000001,98.78
28,0.7413941711616516,75.4,97.488,0.6266661194801331,78.96,98.74000000000001
29,0.7413942258834839,75.378,97.42,0.6262310813903809,78.91,98.75
30,0.7422033836174011,75.166,97.508,0.6250420577049255,79.05,98.75
31,0.7385494371604919,75.804,97.476,0.6242745838165283,79.03999999999999,98.72
32,0.736440020904541,75.58,97.56,0.6230941457748413,79.09,98.76
33,0.7400604211235047,75.542,97.458,0.6226911667823791,79.14,98.72999999999999
34,0.7319555363273621,75.63,97.52,0.6218219797134399,79.13,98.74000000000001
35,0.7404438940620423,75.434,97.422,0.6211189881324768,79.17999999999999,98.74000000000001
36,0.7340553153800964,75.688,97.57400000000001,0.6208359186172485,79.19,98.75
37,0.7321259315299988,75.466,97.584,0.6203803265571595,79.33,98.74000000000001
38,0.7372300939750671,75.388,97.45,0.6201575981140137,79.29,98.75
39,0.7345078268623352,75.626,97.48599999999999,0.6191157512664794,79.36,98.75
40,0.7291894398498535,75.72,97.688,0.6183555591583252,79.32000000000001,98.72999999999999
41,0.732992808933258,75.81,97.588,0.6172853015899659,79.35,98.72999999999999
42,0.7358007340621948,75.576,97.544,0.6175827968597412,79.25,98.72999999999999
43,0.7264573441696167,75.972,97.60600000000001,0.6169591235160827,79.29,98.72999999999999
44,0.7303365162849427,75.862,97.602,0.6167456832885743,79.4,98.76
45,0.7336327307128906,75.55199999999999,97.646,0.616337697315216,79.34,98.75
46,0.7279725543022155,76.044,97.602,0.6150220078468323,79.41,98.77
47,0.7310143231773376,75.708,97.626,0.6152484857559204,79.47,98.75
48,0.7328918964195251,75.71,97.53,0.6155118498802185,79.47,98.76
49,0.7350422396659851,75.604,97.586,0.6146698686599732,79.38,98.75
50,0.7286070147895813,75.608,97.7,0.6143634714126587,79.36,98.72
51,0.7301288678169251,75.58200000000001,97.576,0.6142961784362793,79.39,98.75
52,0.7248639392471313,75.94,97.616,0.6134218643188477,79.46,98.75
53,0.722466956653595,75.752,97.624,0.6126429956436157,79.42,98.74000000000001
54,0.7266750911521912,75.94,97.638,0.6125788113594055,79.38,98.75
55,0.7293809987258911,75.8,97.604,0.612534200668335,79.42,98.74000000000001
56,0.7318250035285949,75.476,97.588,0.6129201271057129,79.46,98.77
57,0.7263019071769714,75.7,97.60799999999999,0.6117914096832275,79.36,98.71
58,0.7246599985504151,75.914,97.57000000000001,0.6115663967132569,79.41,98.75
59,0.728809232120514,75.676,97.668,0.6114513516426087,79.39,98.79
60,0.724380403251648,75.852,97.658,0.6112672441482544,79.47,98.8
61,0.7252422606086731,75.806,97.626,0.6108134922981262,79.43,98.75
62,0.7218081993103027,75.90400000000001,97.648,0.6103611382484436,79.36,98.75
63,0.7281620454406739,75.616,97.61999999999999,0.6107160354614258,79.55,98.75
64,0.7228148962402344,76.0,97.56,0.6101230048179627,79.52,98.77
65,0.7272396310043335,75.83800000000001,97.63199999999999,0.6105028068542481,79.44,98.78
66,0.7223411583137512,76.066,97.616,0.6096847414016724,79.47,98.74000000000001
67,0.7252613993644714,75.766,97.61800000000001,0.6095236853599548,79.54,98.74000000000001
68,0.7294872992897034,75.602,97.536,0.6091637692451477,79.34,98.72999999999999
69,0.723331132926941,75.818,97.744,0.608947741317749,79.45,98.75
70,0.7276947911262512,75.89,97.5,0.6090328617095947,79.58,98.72999999999999
71,0.7250864729690552,75.74,97.636,0.608740230846405,79.60000000000001,98.74000000000001
72,0.725138540763855,75.872,97.636,0.6086478848457336,79.5,98.76
73,0.7219242552757263,75.878,97.68599999999999,0.6082372398376464,79.53,98.75
74,0.721768288154602,76.044,97.646,0.608338506603241,79.36,98.75
75,0.7219026080703735,75.866,97.61999999999999,0.6076927972793579,79.46,98.75
76,0.7188307474136353,76.25,97.52199999999999,0.6070897702217102,79.57,98.77
77,0.7245402610778808,75.8,97.684,0.6075049501419068,79.57,98.79
78,0.7227452988433838,76.02799999999999,97.638,0.6073991429328919,79.55,98.78
79,0.7243688916778565,75.938,97.564,0.6077566021919251,79.49000000000001,98.77
80,0.7221792260169982,75.956,97.634,0.6075331946372986,79.53,98.79
81,0.7209672765159607,75.964,97.636,0.607238053226471,79.66,98.8
82,0.7244503818893433,75.976,97.72,0.6071003868103028,79.60000000000001,98.79
83,0.7275475323486328,75.72,97.508,0.6065948840141296,79.65,98.79
84,0.7258101633834839,75.748,97.602,0.6065705651283264,79.56,98.78
85,0.7253673463630677,75.806,97.638,0.6065170539855957,79.63,98.8
86,0.7253064231681824,75.67,97.74000000000001,0.606296629333496,79.60000000000001,98.77
87,0.7226411824607849,76.02,97.666,0.6057300917625428,79.64,98.78
88,0.7214066901397705,75.974,97.67,0.6059584982872009,79.51,98.79
89,0.7207342345237732,75.712,97.69,0.6054927207946778,79.66,98.79
90,0.7227714860725403,75.78,97.642,0.6055718281745911,79.60000000000001,98.75
91,0.7202614971351623,75.972,97.696,0.6053088501930237,79.59,98.77
92,0.724559440612793,75.96000000000001,97.66,0.6057338632583619,79.57,98.76
93,0.7206762034034729,76.29,97.64,0.6055460814476014,79.67,98.81
94,0.7232158163070679,76.006,97.676,0.6056547603607177,79.53,98.81
95,0.7151665365791321,76.256,97.658,0.6050345254898071,79.62,98.81
96,0.7227363886833191,76.05,97.636,0.6048794344902039,79.56,98.81
97,0.723004430732727,75.8,97.67,0.6048957430839539,79.60000000000001,98.78
98,0.7122707880783081,76.104,97.672,0.6042340979576111,79.63,98.8
99,0.722787751121521,75.97,97.642,0.6041743776321411,79.65,98.78
