epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,1.8069084919357299,52.032000000000004,90.86800000000001,1.432762671470642,63.080000000000005,95.67
2,1.3330236600112915,60.087999999999994,94.32000000000001,1.1779709135055543,64.32,96.06
3,1.1985873237609863,60.836,94.678,1.0853856420516967,65.21000000000001,96.22
4,1.1510342135620117,61.282000000000004,94.94200000000001,1.040177232170105,65.62,96.47
5,1.1297766885375977,61.598,95.04,1.0154833972930908,65.88000000000001,96.49
6,1.1122356491470338,62.07,94.914,0.9980993211746216,66.02,96.69
7,1.1056840742492675,62.214000000000006,95.06400000000001,0.9856910467147827,66.27,96.78999999999999
8,1.0976868692398072,62.358000000000004,95.19,0.9770930934906006,66.53999999999999,96.85000000000001
9,1.0934625427627565,62.053999999999995,95.178,0.9708227606773376,66.7,96.96000000000001
10,1.0896584158706666,62.588,95.284,0.9648603721618653,66.72,96.99
11,1.0886761191940308,62.556,95.17,0.9607771397590638,66.79,96.99
12,1.0885149912643433,62.646,95.09,0.9573929079055786,66.96,97.02
13,1.0811566287231444,62.86000000000001,95.38600000000001,0.9536229826927185,66.89,97.04
14,1.0805574242782592,62.751999999999995,95.284,0.9506228826522827,67.17,97.08
15,1.0823563220596313,62.666,95.408,0.9482179265975952,67.13,97.13000000000001
16,1.079228716659546,63.160000000000004,95.36200000000001,0.9459060695648194,67.36,97.2
17,1.0694425643920897,62.952,95.44200000000001,0.9433173426628113,67.43,97.22
18,1.072350022163391,63.23800000000001,95.38600000000001,0.9417218965530395,67.38,97.22
19,1.0724677960968017,62.936,95.37400000000001,0.9397010536193847,67.43,97.23
20,1.0681591299819946,63.251999999999995,95.464,0.9383512145996094,67.46,97.27
21,1.06548153011322,63.244,95.418,0.9367028963088989,67.56,97.24000000000001
22,1.073674838409424,63.07000000000001,95.218,0.9360038148880004,67.52,97.3
23,1.06375362159729,63.44800000000001,95.304,0.9348374961853028,67.67999999999999,97.28999999999999
24,1.0644185218811035,63.296,95.326,0.9336494872093201,67.63,97.31
25,1.0667052603149414,63.292,95.376,0.9319514887809753,67.78999999999999,97.31
26,1.0642087650299072,63.315999999999995,95.434,0.9300303446769714,67.83,97.34
27,1.058028027114868,63.356,95.438,0.9293358526229858,67.78999999999999,97.35000000000001
28,1.062321526260376,63.424,95.55799999999999,0.9287451213836669,67.82000000000001,97.27
29,1.0639191109466553,63.236000000000004,95.41199999999999,0.9274683243751526,67.89,97.34
30,1.0575284901809692,63.49,95.56,0.9267223662376404,68.02,97.31
31,1.057379904899597,63.446000000000005,95.514,0.9262048631668091,67.89,97.36
32,1.05734641456604,63.556000000000004,95.468,0.9245868344306946,68.08999999999999,97.36
33,1.064474562034607,63.632,95.37,0.9255154207229614,67.78999999999999,97.37
34,1.0591396563720703,63.517999999999994,95.518,0.9237515149116516,68.02,97.41
35,1.058290817489624,63.656,95.502,0.9229467134475708,68.05,97.39
36,1.0571593067932128,63.483999999999995,95.53,0.9228420203208924,68.01,97.39999999999999
37,1.067910693435669,63.507999999999996,95.39800000000001,0.9231404103279114,68.15,97.38
38,1.0503447495269775,63.976,95.556,0.9213799019813538,68.12,97.44
39,1.054789349975586,63.67,95.57600000000001,0.9208847214698791,68.07,97.42
40,1.0598089297485351,63.470000000000006,95.462,0.9202972877502441,68.22,97.44
41,1.0546761499023438,63.676,95.676,0.9200167953491211,68.01,97.47
42,1.0563742311477662,63.696,95.50800000000001,0.9191937474250793,68.27,97.45
43,1.0574574217796326,63.652,95.488,0.9182364252090454,68.28999999999999,97.42
44,1.0552423542404175,63.99,95.676,0.919600387096405,68.32000000000001,97.41
45,1.0524732946014403,63.65,95.56,0.9179113418579101,68.28999999999999,97.46000000000001
46,1.0571218384933472,63.492000000000004,95.43599999999999,0.9169589392662049,68.38,97.5
47,1.0519509537506104,63.849999999999994,95.486,0.9162162969589234,68.28999999999999,97.45
48,1.0494713105010987,63.902,95.462,0.9167937675476074,68.25,97.45
49,1.0523275873184204,63.608,95.66,0.9155983237266541,68.25,97.48
50,1.04978061920166,63.758,95.612,0.916138573551178,68.38,97.50999999999999
51,1.0491969649887085,63.658,95.56400000000001,0.9156316318511963,68.23,97.5
52,1.0475111398315429,63.888,95.636,0.9146634599685669,68.27,97.49
53,1.0496123682022094,63.739999999999995,95.536,0.9144597276687622,68.44,97.49
54,1.0524154635238647,63.937999999999995,95.556,0.9150940023422242,68.35,97.48
55,1.0494623109436034,63.774,95.608,0.9136781900405884,68.39,97.43
56,1.0514747335815429,63.682,95.686,0.9137105028152466,68.25,97.45
57,1.0444409345245362,63.914,95.686,0.912791120147705,68.25,97.54
58,1.0519047846603393,63.854,95.504,0.9126259525299072,68.31,97.47
59,1.0443112461471558,63.944,95.71,0.9115364233970642,68.4,97.5
60,1.0447257255744935,63.878,95.57600000000001,0.9115052200317383,68.44,97.50999999999999
61,1.049180041885376,63.902,95.588,0.9113157262802124,68.35,97.53
62,1.0485086818695069,63.988,95.64200000000001,0.9101497814178466,68.55,97.52
63,1.051209577445984,63.674,95.57600000000001,0.9113135070800781,68.45,97.54
64,1.043221416053772,63.81,95.596,0.9105443040847778,68.61,97.53
65,1.0497146810150146,63.852,95.55399999999999,0.9100943860054016,68.51,97.50999999999999
66,1.043792405128479,63.902,95.66,0.9096186740875244,68.67999999999999,97.55
67,1.0443729472351073,63.873999999999995,95.524,0.9090040243148804,68.61,97.47
68,1.0495171965026855,63.788,95.578,0.909754375743866,68.54,97.43
69,1.0434782978439332,64.13799999999999,95.638,0.9080485074996948,68.63,97.54
70,1.047370138244629,63.93600000000001,95.68799999999999,0.9089661447525025,68.64,97.54
71,1.0410822457122804,63.896,95.74000000000001,0.9085488733291626,68.57,97.52
72,1.047678625793457,63.727999999999994,95.634,0.908352363204956,68.56,97.52
73,1.0425801483917236,63.778,95.72,0.9090642590522766,68.45,97.54
74,1.0444428994750976,63.866,95.708,0.9075188624382019,68.57,97.52
75,1.0513979565811158,63.76199999999999,95.694,0.9079058917999268,68.51,97.55
76,1.0455632052612305,63.894,95.678,0.907541199016571,68.64,97.50999999999999
77,1.0416411274147033,64.044,95.66,0.9071532893180847,68.55,97.52
78,1.0459738509750367,64.086,95.55399999999999,0.9075532338142395,68.57,97.58
79,1.0421300183868407,64.098,95.654,0.907333955860138,68.66,97.61999999999999
80,1.0452204242706298,63.961999999999996,95.596,0.906797979927063,68.58999999999999,97.48
81,1.0451330582809448,64.20400000000001,95.588,0.9066442792892456,68.76,97.49
82,1.0439550275802612,64.02799999999999,95.712,0.9057488426208496,68.82000000000001,97.50999999999999
83,1.0393614621353149,64.07000000000001,95.69,0.9046309496879578,68.65,97.58
84,1.0451444610977172,64.00200000000001,95.616,0.9047948570251465,68.73,97.55
85,1.0399194841766357,64.072,95.708,0.9045593034744263,68.61,97.61
86,1.03897869682312,64.34,95.614,0.9045730045318604,68.67999999999999,97.58
87,1.0385454343032836,64.254,95.69,0.9038460996627807,68.67999999999999,97.61
88,1.0428145175933838,63.864,95.684,0.9037874143600464,68.74,97.56
89,1.0388970918655396,64.158,95.63199999999999,0.903985827255249,68.74,97.59
90,1.0362133459281921,64.18,95.652,0.9036842916488648,68.81,97.57000000000001
91,1.0359174829483033,64.164,95.78,0.9036390200614929,68.81,97.54
92,1.04498370929718,64.084,95.59,0.9037018938064575,68.61,97.57000000000001
93,1.046768207397461,63.824000000000005,95.566,0.9037746633529663,68.75,97.56
94,1.039898438682556,64.104,95.64200000000001,0.9041720113754272,68.69,97.6
95,1.0413237623596192,64.27199999999999,95.694,0.9042994770050049,68.81,97.54
96,1.0309438345336914,64.366,95.76599999999999,0.9026162089347839,68.72,97.56
97,1.0410047939300537,64.318,95.784,0.9021848983764649,68.91000000000001,97.58
98,1.040908752975464,63.885999999999996,95.646,0.9026750185966491,68.81,97.50999999999999
99,1.0384495613861084,64.238,95.76400000000001,0.9016541112899781,68.78,97.61999999999999
100,1.041100265197754,64.3,95.6,0.903029891204834,68.77,97.49
