epoch,train_loss,test_acc@1,test_acc@5
1,7.134734511375427,5.46,35.86
2,6.890796581904094,16.27,62.77
3,6.805233101050059,33.660000000000004,83.64
4,6.767500460147858,35.43,85.35000000000001
5,6.7477503915627794,36.54,86.91
6,6.722975919644038,36.83,86.71
7,6.7121773560841875,37.18,87.67
8,6.6929115156332655,38.47,87.99
9,6.685585816701253,38.05,87.98
10,6.666334539651871,38.53,88.33
11,6.654050846894582,38.57,88.27000000000001
12,6.648714313904445,38.34,88.78
13,6.636428594589233,38.550000000000004,88.62
14,6.63608839114507,39.14,89.03
15,6.613992204268773,40.27,89.74
16,6.604659140110016,40.56,89.66
17,6.594629138708115,40.129999999999995,89.74
18,6.595599989096324,40.92,90.14999999999999
19,6.580759634574254,41.3,89.84
20,6.579955816268921,41.370000000000005,90.02
21,6.574676106373469,41.22,90.13
22,6.563286443551381,42.24,90.46
23,6.558485458294551,41.72,90.38000000000001
24,6.557302763064702,42.14,90.59
25,6.546292076508204,42.25,90.67
26,6.543839265902837,43.120000000000005,90.86999999999999
27,6.541080395380656,42.76,90.97
28,6.5366815229256945,42.88,90.79
29,6.530679206053416,42.93,90.75
30,6.525244285662969,44.190000000000005,91.27
31,6.523750464121501,44.13,90.95
32,6.516351878643036,44.5,91.11
33,6.513079861799876,44.76,91.41
34,6.511429866154988,44.92,91.81
35,6.501193145910899,45.43,91.72
36,6.493219256401062,45.739999999999995,91.53999999999999
37,6.492728779713313,46.379999999999995,92.01
38,6.48434516787529,45.82,92.28
39,6.486548652251561,46.94,92.22
40,6.484834124644597,46.47,92.33
41,6.478578905264537,46.48,92.28
42,6.47927971680959,47.07,92.45
43,6.473544627428055,47.25,92.47
44,6.466841638088226,47.61,92.7
45,6.469469716151555,47.46,92.51
46,6.4638146062692,48.0,92.7
47,6.457889397939046,47.89,92.71000000000001
48,6.452256093422572,47.82,92.82000000000001
49,6.454752504825592,48.24,92.93
50,6.449050545692444,48.74,92.99
51,6.445281436045964,48.79,93.10000000000001
52,6.443846533695857,49.0,93.37
53,6.439722200234731,48.809999999999995,93.15
54,6.441698203484218,49.05,93.2
55,6.433327207962672,49.44,93.47999999999999
56,6.433174391587575,49.32,93.12
57,6.432253032922745,49.26,93.28
58,6.429493278264999,50.09,93.35
59,6.424762547016144,49.71,93.17999999999999
60,6.425250768661499,49.93,93.36
61,6.4229351580142975,49.559999999999995,93.49
62,6.418471495310466,50.22,93.26
63,6.419015606244405,50.370000000000005,93.39
64,6.4175369044144945,50.56,93.36
65,6.41317696372668,50.59,93.62
66,6.415250887473424,50.629999999999995,93.52000000000001
67,6.411968012650807,50.44,93.61
