epoch,train_loss,test_acc@1,test_acc@5
1,5.7348870179592035,45.7,92.10000000000001
2,5.509722748780862,45.7,92.10000000000001
3,5.465814336140951,45.7,92.10000000000001
4,5.426041637322841,45.7,92.10000000000001
5,5.355530027242807,45.7,92.10000000000001
6,5.329310942918826,45.7,92.10000000000001
7,5.300843048095703,45.7,92.10000000000001
8,5.287196225386399,45.7,92.10000000000001
9,5.265166551638872,45.7,92.10000000000001
10,5.232766660054525,45.7,92.10000000000001
11,5.212056551224146,45.7,92.10000000000001
12,5.195600805527125,45.7,92.10000000000001
13,5.180609429188264,45.7,92.10000000000001
14,5.166053224221254,45.7,92.10000000000001
15,5.1573178217961235,45.7,92.10000000000001
16,5.143230367318178,45.7,92.10000000000001
17,5.136689704503769,45.7,92.10000000000001
18,5.127216945550381,45.7,92.10000000000001
19,5.113577632414989,45.7,92.10000000000001
20,5.101167537004519,45.7,92.10000000000001
21,5.093674953167255,52.27,94.31
22,5.07871981156178,52.27,94.31
23,5.076447168986003,52.27,94.31
24,5.064769661732209,52.27,94.31
25,5.057397182171162,52.27,94.31
26,5.051594421191093,52.27,94.31
27,5.041079279092642,52.27,94.31
28,5.037093037825365,52.27,94.31
29,5.029953240125607,52.27,94.31
30,5.020972860776461,52.27,94.31
31,5.021773878733317,52.27,94.31
32,5.011912707793407,52.27,94.31
33,5.004941898737198,52.27,94.31
34,5.004240331894312,52.27,94.31
35,4.999810881492419,52.27,94.31
36,4.99542938379141,52.27,94.31
37,4.99241000688993,52.27,94.31
38,4.987908901312412,52.27,94.31
39,4.985088265247834,52.27,94.31
40,4.9805115186251125,52.27,94.31
41,4.977388993287698,56.66,95.8
42,4.973053545829577,56.66,95.8
43,4.971020268171261,56.66,95.8
44,4.965633822710086,56.66,95.8
45,4.964490606845954,56.66,95.8
46,4.963058501023513,56.66,95.8
47,4.9614975244571005,56.66,95.8
48,4.953743858826466,56.66,95.8
49,4.948261038462321,56.66,95.8
50,4.952625939784906,56.66,95.8
51,4.947452408228165,56.66,95.8
52,4.942688012734438,56.66,95.8
53,4.944413740206987,56.66,95.8
54,4.934646853422508,56.66,95.8
55,4.936058550614577,56.66,95.8
56,4.934176234709911,56.66,95.8
57,4.926865819784311,56.66,95.8
58,4.928274477445163,56.66,95.8
59,4.9249774052546575,56.66,95.8
60,4.920389187641633,56.66,95.8
61,4.919140558976394,60.07,96.13000000000001
62,4.914975405962039,60.07,96.13000000000001
63,4.914776853414682,60.07,96.13000000000001
64,4.914338701199263,60.07,96.13000000000001
65,4.913192394452217,60.07,96.13000000000001
66,4.908259883293739,60.07,96.13000000000001
67,4.906547798254551,60.07,96.13000000000001
68,4.907695048894638,60.07,96.13000000000001
69,4.905446226168902,60.07,96.13000000000001
70,4.901294287657127,60.07,96.13000000000001
71,4.895717435005384,60.07,96.13000000000001
72,4.8985305566054125,60.07,96.13000000000001
73,4.894152411436424,60.07,96.13000000000001
74,4.894954732748178,60.07,96.13000000000001
75,4.897745976081262,60.07,96.13000000000001
76,4.8884552833361505,60.07,96.13000000000001
77,4.887837493113983,60.07,96.13000000000001
78,4.889989994733762,60.07,96.13000000000001
79,4.8875128697126335,60.07,96.13000000000001
80,4.885120775760749,60.07,96.13000000000001
81,4.8866852246798,61.91,96.45
82,4.878520271105644,61.91,96.45
83,4.879577600038969,61.91,96.45
84,4.879873542296581,61.91,96.45
85,4.8772805556272845,61.91,96.45
86,4.876404950557611,61.91,96.45
87,4.876971782782139,61.91,96.45
88,4.873726590474447,61.91,96.45
89,4.873941186758188,61.91,96.45
90,4.871314528049567,61.91,96.45
91,4.868701020265237,61.91,96.45
92,4.867547707679944,61.91,96.45
93,4.866320996406751,61.91,96.45
94,4.867021514207889,61.91,96.45
95,4.863623861166147,61.91,96.45
96,4.865246254358536,61.91,96.45
97,4.862153586363181,61.91,96.45
98,4.857930550208459,61.91,96.45
99,4.861050931001321,61.91,96.45
100,4.859190495808919,61.91,96.45
101,4.859059111277262,64.23,96.85000000000001
102,4.855655007484632,64.23,96.85000000000001
103,4.856062478285569,64.23,96.85000000000001
104,4.856269029470591,64.23,96.85000000000001
105,4.855590724945069,64.23,96.85000000000001
106,4.853209321926801,64.23,96.85000000000001
107,4.851661144158779,64.23,96.85000000000001
108,4.849757228753505,64.23,96.85000000000001
109,4.8515371958414715,64.23,96.85000000000001
110,4.848917012336926,64.23,96.85000000000001
111,4.847238256992438,64.23,96.85000000000001
112,4.845166191687951,64.23,96.85000000000001
113,4.843849421770145,64.23,96.85000000000001
114,4.847291349753355,64.23,96.85000000000001
115,4.845250936654898,64.23,96.85000000000001
116,4.843048467391577,64.23,96.85000000000001
117,4.844117614550468,64.23,96.85000000000001
118,4.84282950376853,64.23,96.85000000000001
119,4.840697765350342,64.23,96.85000000000001
120,4.841003058506892,64.23,96.85000000000001
121,4.839264277922801,65.19,96.84
122,4.8392331710228556,65.19,96.84
123,4.84067325592041,65.19,96.84
124,4.836943208254301,65.19,96.84
125,4.835046337812375,65.19,96.84
126,4.833597855690198,65.19,96.84
127,4.832481137300149,65.19,96.84
128,4.834707558460725,65.19,96.84
129,4.832231308863713,65.19,96.84
130,4.835145749801245,65.19,96.84
131,4.830932020529723,65.19,96.84
132,4.826459789276123,65.19,96.84
133,4.8298181142562475,65.19,96.84
134,4.8303831100463865,65.19,96.84
135,4.829349862612211,65.19,96.84
136,4.825515629695012,65.19,96.84
137,4.829039730169835,65.19,96.84
138,4.827853951087365,65.19,96.84
139,4.8249284524184,65.19,96.84
140,4.824234749720647,65.19,96.84
141,4.823482970702343,67.24,97.13000000000001
142,4.82801328316713,67.24,97.13000000000001
143,4.823190307617187,67.24,97.13000000000001
144,4.819764357346755,67.24,97.13000000000001
145,4.822250038538224,67.24,97.13000000000001
146,4.821175898038424,67.24,97.13000000000001
147,4.822181124564929,67.24,97.13000000000001
148,4.822072479052421,67.24,97.13000000000001
149,4.822823350857465,67.24,97.13000000000001
150,4.81834957416241,67.24,97.13000000000001
151,4.822157647059514,67.24,97.13000000000001
152,4.817814917442126,67.24,97.13000000000001
153,4.8181502880194245,67.24,97.13000000000001
154,4.813168056194598,67.24,97.13000000000001
155,4.814915268237774,67.24,97.13000000000001
156,4.815632480230087,67.24,97.13000000000001
157,4.814740117390951,67.24,97.13000000000001
158,4.816235366234412,67.24,97.13000000000001
159,4.813962016961513,67.24,97.13000000000001
160,4.8123230151641065,67.24,97.13000000000001
161,4.812280694032327,67.67999999999999,97.2
162,4.812372019352057,67.67999999999999,97.2
163,4.808397341997195,67.67999999999999,97.2
164,4.809536975469345,67.67999999999999,97.2
165,4.81154816700862,67.67999999999999,97.2
166,4.812771489070012,67.67999999999999,97.2
167,4.80872132227971,67.67999999999999,97.2
168,4.809543761228904,67.67999999999999,97.2
169,4.807294627947685,67.67999999999999,97.2
170,4.810269788595346,67.67999999999999,97.2
171,4.806464909284543,67.67999999999999,97.2
172,4.8081769454173555,67.67999999999999,97.2
173,4.8064159124325485,67.67999999999999,97.2
174,4.808036765074118,67.67999999999999,97.2
175,4.804501611758501,67.67999999999999,97.2
176,4.805919270637708,67.67999999999999,97.2
177,4.803295235756116,67.67999999999999,97.2
178,4.803778538337121,67.67999999999999,97.2
179,4.805667212070563,67.67999999999999,97.2
180,4.8043615463452465,67.67999999999999,97.2
181,4.802985778221717,68.72,97.28999999999999
182,4.806257152557373,68.72,97.28999999999999
183,4.8009965163010815,68.72,97.28999999999999
184,4.80352808878972,68.72,97.28999999999999
185,4.802253444378192,68.72,97.28999999999999
186,4.803883435175969,68.72,97.28999999999999
187,4.799570878346761,68.72,97.28999999999999
188,4.799718167231633,68.72,97.28999999999999
189,4.799598397964086,68.72,97.28999999999999
190,4.798669093694443,68.72,97.28999999999999
191,4.80122664035895,68.72,97.28999999999999
192,4.798739834320851,68.72,97.28999999999999
193,4.800099644294152,68.72,97.28999999999999
194,4.798829582409981,68.72,97.28999999999999
195,4.797975422785832,68.72,97.28999999999999
196,4.794478604732416,68.72,97.28999999999999
197,4.796241547511174,68.72,97.28999999999999
198,4.794307451981765,68.72,97.28999999999999
199,4.796330637809557,68.72,97.28999999999999
200,4.796401877280993,68.72,97.28999999999999
201,4.795202783437875,69.26,97.39
202,4.794089004320976,69.26,97.39
203,4.794239293611967,69.26,97.39
204,4.794228644248767,69.26,97.39
205,4.7974424313276245,69.26,97.39
206,4.79565893075405,69.26,97.39
207,4.793119557698568,69.26,97.39
208,4.792745886093531,69.26,97.39
209,4.792975442837446,69.26,97.39
210,4.793229506565974,69.26,97.39
211,4.7952076227237015,69.26,97.39
