epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,1.7793345981597901,63.080000000000005,93.60199999999999,1.343994726371765,73.42999999999999,97.61999999999999
2,1.178702137184143,71.39999999999999,96.80199999999999,0.9836857610702515,75.33999999999999,98.02
3,0.9666460682296752,72.48400000000001,97.18,0.8434938965797424,76.02,98.16
4,0.8816739429664612,72.974,97.172,0.7761630299568176,76.62,98.22999999999999
5,0.8416735858726502,73.32600000000001,97.26,0.738231728553772,76.97,98.32
6,0.8192851530838012,73.38799999999999,97.298,0.714513646697998,77.36,98.41
7,0.8036050220870972,73.72800000000001,97.316,0.6981864192008972,77.53999999999999,98.42999999999999
8,0.7982656738471985,73.638,97.384,0.68628796749115,77.56,98.42999999999999
9,0.7820513649177552,74.058,97.54599999999999,0.6773531399726868,77.75,98.49
10,0.7819935021018982,74.026,97.48,0.6706782899856567,77.91,98.54
11,0.7821895838737488,74.018,97.36200000000001,0.6658933662414551,77.95,98.54
12,0.7757481126785278,74.168,97.316,0.6610707193374634,78.02,98.56
13,0.7699313006019592,74.324,97.442,0.6574338371276855,78.09,98.55000000000001
14,0.7676347869300842,74.262,97.458,0.6538936187744141,78.09,98.54
15,0.7665709508895874,74.414,97.526,0.6519474702835083,78.27,98.53
16,0.7667809498214722,74.4,97.43,0.6495827532768249,78.25999999999999,98.55000000000001
17,0.7647551487922668,74.434,97.478,0.647288468170166,78.39,98.56
18,0.7649570652198792,74.47399999999999,97.432,0.6455803774833679,78.34,98.57000000000001
19,0.7603899043655395,74.52,97.456,0.64420473985672,78.41,98.59
20,0.7566454185676574,74.524,97.588,0.642395630645752,78.41,98.58
21,0.7589710377502441,74.666,97.49799999999999,0.6407908520698548,78.48,98.54
22,0.7559055114936829,74.786,97.52199999999999,0.6394811533927918,78.57,98.56
23,0.7648188605499268,74.442,97.438,0.638615147304535,78.52,98.59
24,0.7561264671134948,74.606,97.586,0.6376122353553771,78.56,98.61
