epoch,train_loss,test_acc@1,test_acc@5
1,6.308173990741219,63.53,97.08
2,6.0262531939241075,63.53,97.08
3,5.916252357443583,63.53,97.08
4,5.848958212075774,63.53,97.08
5,5.796802383108237,63.53,97.08
6,5.751414923323798,63.53,97.08
7,5.729128468896925,63.53,97.08
8,5.702985488262373,63.53,97.08
9,5.681397909970627,63.53,97.08
10,5.667610527313862,63.53,97.08
11,5.6519127531149955,63.53,97.08
12,5.632345032446163,63.53,97.08
13,5.625443217680626,63.53,97.08
14,5.610303441273797,63.53,97.08
15,5.5986875553721,63.53,97.08
16,5.587418251430865,63.53,97.08
17,5.584251959299304,63.53,97.08
18,5.576622495946196,63.53,97.08
19,5.572258079174867,63.53,97.08
20,5.562903045379009,63.53,97.08
21,5.5606510417977555,69.86,97.98
22,5.555077769092677,69.86,97.98
23,5.545248995122221,69.86,97.98
24,5.545479376291492,69.86,97.98
25,5.540241359435406,69.86,97.98
26,5.53646197761457,69.86,97.98
27,5.532992009035091,69.86,97.98
28,5.5314523362621815,69.86,97.98
29,5.524767590552261,69.86,97.98
30,5.521842032363734,69.86,97.98
31,5.519119169294219,69.86,97.98
32,5.517754500674219,69.86,97.98
33,5.516152091862,69.86,97.98
34,5.510120146053353,69.86,97.98
35,5.510063933343003,69.86,97.98
36,5.503517726033004,69.86,97.98
37,5.501374284016717,69.86,97.98
38,5.4988052672946575,69.86,97.98
39,5.493825455301816,69.86,97.98
40,5.4956799438319255,69.86,97.98
41,5.490242771266662,73.45,98.4
42,5.490058544984798,73.45,98.4
43,5.485058292900164,73.45,98.4
44,5.485092394130746,73.45,98.4
45,5.481448394736064,73.45,98.4
46,5.481354354583111,73.45,98.4
47,5.478565732228387,73.45,98.4
48,5.47165200636559,73.45,98.4
49,5.474964736663189,73.45,98.4
50,5.4722143104395915,73.45,98.4
51,5.469315922137389,73.45,98.4
52,5.467726176547021,73.45,98.4
53,5.469587296554723,73.45,98.4
54,5.467035519708063,73.45,98.4
55,5.4634736297056845,73.45,98.4
56,5.462679528698478,73.45,98.4
57,5.4609947991125365,73.45,98.4
58,5.456804359082094,73.45,98.4
59,5.456617989490941,73.45,98.4
60,5.455259396857822,73.45,98.4
61,5.454431160209105,75.46000000000001,98.63
62,5.449638371615066,75.46000000000001,98.63
63,5.454415114884524,75.46000000000001,98.63
64,5.451235078044774,75.46000000000001,98.63
65,5.451343718263292,75.46000000000001,98.63
66,5.44915696271916,75.46000000000001,98.63
67,5.445441742533261,75.46000000000001,98.63
68,5.444652193600369,75.46000000000001,98.63
69,5.442656128676896,75.46000000000001,98.63
70,5.44697334348541,75.46000000000001,98.63
71,5.440537157746935,75.46000000000001,98.63
72,5.441495826563885,75.46000000000001,98.63
73,5.439979066553804,75.46000000000001,98.63
74,5.4403759327131445,75.46000000000001,98.63
75,5.437358787379314,75.46000000000001,98.63
76,5.433734520194457,75.46000000000001,98.63
77,5.436074478110087,75.46000000000001,98.63
78,5.432927500341356,75.46000000000001,98.63
79,5.4342017861985665,75.46000000000001,98.63
80,5.430795502416866,75.46000000000001,98.63
81,5.431733588582461,76.89,98.79
82,5.429802339101575,76.89,98.79
83,5.4279776061933065,76.89,98.79
84,5.4273557466329985,76.89,98.79
85,5.425939166668764,76.89,98.79
86,5.426423239953739,76.89,98.79
87,5.424320732195353,76.89,98.79
88,5.4280181029408245,76.89,98.79
89,5.420945634546968,76.89,98.79
90,5.421402759158735,76.89,98.79
91,5.420703745379891,76.89,98.79
92,5.418797129208279,76.89,98.79
93,5.419465069918289,76.89,98.79
94,5.417744862664606,76.89,98.79
95,5.416930247827904,76.89,98.79
96,5.415480898827622,76.89,98.79
97,5.4154966049587605,76.89,98.79
98,5.417184397117379,76.89,98.79
99,5.414788703328555,76.89,98.79
100,5.413418111112929,76.89,98.79
101,5.411118074790719,78.06,98.83999999999999
102,5.409725798774011,78.06,98.83999999999999
103,5.414425761429305,78.06,98.83999999999999
104,5.409188693331689,78.06,98.83999999999999
105,5.40739237893488,78.06,98.83999999999999
106,5.408871606453178,78.06,98.83999999999999
107,5.4094656324878185,78.06,98.83999999999999
108,5.407347915098839,78.06,98.83999999999999
109,5.405165106979842,78.06,98.83999999999999
110,5.405454414407003,78.06,98.83999999999999
111,5.403172207861831,78.06,98.83999999999999
112,5.404126359015396,78.06,98.83999999999999
113,5.399328610331742,78.06,98.83999999999999
114,5.401123155023634,78.06,98.83999999999999
115,5.401971635130263,78.06,98.83999999999999
116,5.400271976117006,78.06,98.83999999999999
117,5.401071420649893,78.06,98.83999999999999
118,5.3968356024358695,78.06,98.83999999999999
119,5.39797623132922,78.06,98.83999999999999
120,5.400357703572696,78.06,98.83999999999999
121,5.394987406189909,79.13,99.02
122,5.398084846968503,79.13,99.02
123,5.397674816170919,79.13,99.02
124,5.393541925961209,79.13,99.02
125,5.396552282510345,79.13,99.02
126,5.3922886651815825,79.13,99.02
127,5.393156857834649,79.13,99.02
128,5.393237772676134,79.13,99.02
129,5.3939077780418785,79.13,99.02
130,5.392896293364849,79.13,99.02
131,5.393906657228765,79.13,99.02
132,5.388212297380585,79.13,99.02
133,5.3898536937752946,79.13,99.02
134,5.391385427455313,79.13,99.02
135,5.3910258332478636,79.13,99.02
136,5.386491696859143,79.13,99.02
137,5.386897834305911,79.13,99.02
138,5.3898414533162855,79.13,99.02
139,5.3888377651725845,79.13,99.02
140,5.38669157519783,79.13,99.02
141,5.387007442946286,79.91,98.96000000000001
142,5.387363817273956,79.91,98.96000000000001
143,5.380547380938973,79.91,98.96000000000001
144,5.384948592825034,79.91,98.96000000000001
145,5.380959407570436,79.91,98.96000000000001
146,5.380036678510843,79.91,98.96000000000001
147,5.381642498920873,79.91,98.96000000000001
148,5.384440205760838,79.91,98.96000000000001
149,5.380929273428376,79.91,98.96000000000001
150,5.381409640164719,79.91,98.96000000000001
151,5.381952747856219,79.91,98.96000000000001
152,5.37908350561083,79.91,98.96000000000001
153,5.378920776327861,79.91,98.96000000000001
154,5.375555421888214,79.91,98.96000000000001
155,5.379125398458894,79.91,98.96000000000001
156,5.375116608806493,79.91,98.96000000000001
157,5.375345957647894,79.91,98.96000000000001
158,5.375565917221541,79.91,98.96000000000001
159,5.376855393045957,79.91,98.96000000000001
160,5.375969154318583,79.91,98.96000000000001
161,5.3751439605791544,81.15,99.02
162,5.373174342912497,81.15,99.02
163,5.3738996318935115,81.15,99.02
164,5.37623395624849,81.15,99.02
165,5.37110156128087,81.15,99.02
166,5.373676177152653,81.15,99.02
167,5.3754416937680585,81.15,99.02
