epoch,train_loss,train_acc@1,train_acc@5,test_loss,test_acc@1,test_acc@5
1,1.795243812599182,54.62200000000001,91.708,1.4228301109313966,63.870000000000005,95.85000000000001
2,1.3245154290008545,60.084,94.28800000000001,1.1731353986740112,64.56,96.02000000000001
3,1.1923475953292846,61.172000000000004,94.718,1.082097537612915,65.22,96.33
4,1.1512607123565675,61.507999999999996,94.85,1.0384791604995727,65.71000000000001,96.47
5,1.1305356184387207,61.66199999999999,94.876,1.0133166091918946,66.13,96.59
